,Name,NIL Value,Year,School,Position,Sport,Company/Client,Collective
51,Spencer Rattler,$968K,RS-SR,south carolina gamecocks,QB,Football,Spencer Rattler Football Camp,
52,Chris Kinsey,$8K,JR,,DL,Football,VerifiedInk,
53,Jordan Caldwell,$8.1K,JR,,DL,Football,VerifiedInk,
54,Xadavien Sims,$70K,JR,,DL,Football,VerifiedInk,
55,Raphael Williams,$26K,JR,san diego state aztecs,WR,Football,VerifiedInk,
56,JD Coffey,$26K,JR,san diego state aztecs,S,,VerifiedInk,
57,Jalik Lewis,-,SR,,CB,Football,VerifiedInk,
58,Aneesah Morrow,$16.5K,FR,depaul blue demons,SF,Basketball,Caktus AI,
59,Jacolby George,$79K,JR,miami hurricanes,WR,Football,,Canes Connection
60,Drake Maye,$1.5M,RS-SO,north carolina tar heels,QB,Football,Next Gen Camps,
61,Boogie Ellis,$151K,SR,usc trojans,PG,Basketball,,House of Victory
62,Te'Cory Couch,$78K,SR,miami hurricanes,CB,Football,,Canes Connection
63,Anez Cooper,-,SO,miami hurricanes,IOL,Football,,Canes Connection
64,Keegan Davis,$5.7K,RS-FR,fiu golden panthers,LB,Football,,Inside the Cage
65,Tyler Kolek,$369K,RS-SO,marquette golden eagles,CG,Basketball,,
66,Antwane Wells,$518K,SR,south carolina gamecocks,WR,Football,The Farmer's Dog,
67,Jarrett Kingston,$187K,RS-SR,,IOL,Football,,House of Victory
68,Malaki Starks,$504K,SO,georgia bulldogs,S,,BioSteel,
69,Filip Borovicanin,$13.7K,FR,arizona wildcats,SF,Basketball,,Arizona Assist Club
70,Davin Vann,$25K,JR,nc state wolfpack,EDGE,Football,Earp's Seafood Market,Pack of Wolves
71,Timothy McKay,$22K,RS-JR,nc state wolfpack,IOL,Football,Earp's Seafood Market,Pack of Wolves
72,Anthony Belton,$22K,RS-JR,,OT,Football,Earp's Seafood Market,Pack of Wolves
73,MarShawn Lloyd,$226K,RS-JR,usc trojans,RB,Football,,House of Victory
74,Skylar Fields,$24K,SR,usc trojans,OH,Volleyball,,House of Victory
75,Brock Glenn,$44K,FR,florida state seminoles,QB,Football,,The Battle's End
76,Blake Corum,$1.1M,SR,michigan wolverines,RB,Football,The 33rd Team,
77,Angel Reese,$1.4M,JR,lsu tigers,SF,Basketball,Mercedes-Benz of Baton Rouge,Bayou Traditions
78,J.J. McCarthy,$866K,JR,michigan wolverines,QB,Football,Alo Yoga,
79,Sean Moore,$10.7K,FR,fairleigh dickinson knights,PF,Basketball,Tac Ops,
80,John Bolton,$7K,SR,arkansas razorbacks,IF,Baseball,Central BBQ,
81,Kenny Logan,$41K,SR,kansas jayhawks,ATH,Football,Big Brothers Big Sisters - KC,Mass St. Collective
82,Jalon Daniels,$281K,JR,kansas jayhawks,QB,Football,Big Brothers Big Sisters - KC,Mass St. Collective
83,Sencire Harris,$24K,FR,illinois fighting illini,CG,Basketball,Orange Krush Foundation,Illini Guardians
84,Luke Goode,$25K,SO,illinois fighting illini,SF,Basketball,Orange Krush Foundation,Illini Guardians
85,Dain Dainja,$21K,RS-SO,illinois fighting illini,PF,Basketball,Orange Krush Foundation,Illini Guardians
86,Markquis Nowell,$497K,SR,kansas state wildcats,PG,Basketball,Powercat Sports Grill,Wildcat NIL
87,Rocko Griffin,$14.5K,RS-SO,utsa roadrunners,RB,Football,Fruteria Chavez,
88,Dmitri Emmanuel,$64K,RS-SR,florida state seminoles,IOL,Football,,The Battle's End
89,Justin Mascoll,$51K,RS-SR,clemson tigers,EDGE,Football,Tajh Boyd Foundation,TigerImpact
90,Bo Nix,$1.5M,SR,oregon ducks,QB,Football,Topps,
91,J.J. McCarthy,$866K,JR,michigan wolverines,QB,Football,Topps,
92,Jevon Porter,-,FR,pepperdine waves,PF,Basketball,,
93,Colston Loveland,$83K,SO,michigan wolverines,TE,Football,Wolverine Boots,
94,Junior Colson,$100K,JR,michigan wolverines,LB,Football,Wolverine Boots,
95,Will Johnson,$537K,SO,michigan wolverines,CB,Football,Wolverine Boots,
96,J.J. McCarthy,$866K,JR,michigan wolverines,QB,Football,Wolverine Boots,
97,Tanner Bailey,$80K,RS-FR,south carolina gamecocks,QB,Football,Tanner Bailey Football Camp,
98,Malaki Starks,$504K,SO,georgia bulldogs,S,,J.B Grimes,
99,Juliauna Hayward,$13.2K,FR,colorado buffaloes,MF,Soccer,Kyle MacIntosh Memorial 5K,Buffs4Life NIL Collective
