,Name,University,Sport,Sponsors
14,LD Brown,Oklahoma State UniversityâStillwater,Football,
15,Tay Martin,Oklahoma State UniversityâStillwater,Football,
16,Zach Middleton,Oklahoma State UniversityâStillwater,Football,Barstool Sports
17,Tommy Lewis,Lehigh University,Football,Barstool Sports
18,Trent Frazier,University of Illinois at UrbanaâChampaign,Basketball,
19,Paige Kalkhoff,Florida International University,Beach Volleyball,Barstool Sports
0,Johnny Juzang,"University of California, Los Angeles",Basketball,
1,Naz Hillmon,University of Michigan,Basketball,Outback Steakhouse
2,Ty Fryfogle,Indiana University,Football,
3,Trayce Jackson-Davis,Indiana University,Basketball,Pennzoil
4,Oliver Tipton,Davidson College,Wrestling,Celsius                                                                      Liquid I.V.
5,Trelon Smith,University of Arkansas,Football,
6,Carson Ramos,Old Dominion University,Football,Barstool Sports                                                                      Liquid I.V.
7,Braden Galloway,Clemson University,Football,
8,Mike Jones Jr.,Louisiana State University,Football,
9,Jack Betts,Amherst College,Football,LifeStyle Bands
10,Gibson Jimerson,Saint Louis University,Basketball,Barstool Sports                                                                      Barstool Sports
11,Trevor Keels,Duke University,Basketball,Outback Steakhouse
12,Paolo Banchero,Duke University,Basketball,Yahoo! Sports
13,Ra'Shaun Henry,University of Virginia,Football,Barstool Sports
14,Trey Patterson,Villanova University,Basketball,Barstool Sports
15,Paige Bueckers,University of Connecticut,Basketball,Gatorade                                                                      StockX
16,Sandra Elsadek,Ball State University,Gymnastics,Barstool Sports                                                                      Barstool Sports
17,Jack Jones,Arizona State University,Football,
18,DeaMonte Trayanum,Arizona State University,Football,
19,Dwight Allen,University of Georgia,Baseball,Barstool Sports
0,Matthew Boling,University of Georgia,Track and Field,
1,Mollie Belisle,University of Georgia,Soccer,Barstool Sports
2,Evan McDonald,The Citadel,Track and Field,Barstool Sports                                                                      Barstool Sports
3,Nazar Bombata,University of Arizona,Football,Barstool Sports
4,Joe Tyler,San Diego State University,Tennis,Barstool Sports
5,Deshaun Highler,"California State University, Sacramento",Basketball,
6,Gervon Dexter,University of Florida,Football,
7,Derek Wingo,University of Florida,Football,Barstool Sports
8,Jaden Abas,Stanford University,Wrestling,Barstool Sports                                                                      Obsesh Media Inc
9,Ja'Quain Blakely,University of Tennessee,Football,
10,Max Agbonkpolo,University of Southern California,Basketball,Barstool Sports
11,Annie Bagnall,Siena College,Soccer,Barstool Sports                                                                      Barstool Sports
12,Nate Laszewski,University of Notre Dame,Basketball,
13,Grant Basile,Wright State University,Basketball,Barstool Sports
14,Kyle McCord,The Ohio State University,Football,
15,Sevyn Banks,The Ohio State University,Football,
16,Meechie Johnson Jr.,The Ohio State University,Basketball,
17,Jimmy Sotos,The Ohio State University,Basketball,
18,Kendall Whitman,George Washington University,Gymnastics,Barstool Sports
19,Cam Johnson,Vanderbilt University,Football,
0,Chandler Martin,East Tennessee State University,Football,
1,Chloe Dupuis,East Tennessee State University,Volleyball,
2,Gavyn Dingle,"California State University, Bakersfield",Track and Field,Barstool Sports
3,Tanner Smith,University of Oregon,Baseball,Barstool Sports
4,Bennett Williams,University of Oregon,Football,Barstool Sports
5,Maddie Scherr,University of Oregon,Basketball,
6,Dennis Barnes,University of Texas at El Paso,Football,Barstool Sports
7,Marquis Ward,Marquette University,Track and Field,Barstool Sports                                                                      Barstool Sports
8,Bijan Robinson,University of Texas at Austin,Football,Raising Canes
9,Paytin Mercado,Southern University,Softball,Personal Corner                                                                      Too Faced Cosmetics
10,Justin Rigg,University of Kentucky,Football,Barstool Sports
11,Joshua Green,University of South Florida,Football,
12,Azzia MacDonald,Seattle University,Volleyball,Barstool Sports
13,Tiler Noyola,Texas A&M UniversityâCorpus Christi,Softball,Barstool Sports
14,Nana Akenten,Southeast Missouri State University,Basketball,
15,Kyley Bolster,Winona State University,Tennis,Bubblr                                                                      Liquid I.V.
16,Aaron Robinson,University of Central Florida,Baseball,Barstool Sports                                                                      Celsius
17,Dylan Decker,High Point University,Baseball,Barstool Sports
18,Ashlyn McGovern,University of Virginia,Lacrosse,Barstool Sports
19,Olivia Tuma,Cornell University,Lacrosse,Barstool Sports
0,Brett Seither,University of Georgia,Football,Barstool Sports
1,Sal Goaley,Saint Louis University,Swimming and Diving,Barstool Sports
2,Danny Dzhaniyev,Pennsylvania State University,Ice Hockey,Barstool Sports
3,Jack Hillman,College of the Holy Cross,Ice Hockey,Barstool Sports
4,Grace Boghosian,Lafayette College,Swimming and Diving,Barstool Sports
5,Emily Heller,University of Florida,Lacrosse,Barstool Sports
6,Vannessa Garrelts,Miami University,Basketball,Barstool Sports
7,Colby Grames,Bucknell University,Football,Barstool Sports
8,Kamryn Tuimalu,St. John's University,Softball,Barstool Sports
9,Sarah Boyle,University of Notre Dame,Swimming and Diving,Barstool Sports
10,Aidan Hawley,Merrimack College,Baseball,Barstool Sports
11,Aiden Waszak,Ohio University,Wrestling,Barstool Sports
12,Lucas Meek,University of Washington,Soccer,Barstool Sports
13,Dominique Marcelli,Florida International University,Soccer,Barstool Sports
14,Jordan Beatson,The Citadel,Baseball,Barstool Sports
15,Dan Mangun,Loyola University Chicago,Volleyball,Barstool Sports
16,Chris Crabtree,Duke University,Baseball,Barstool Sports
17,Karson Bacon,University of Oregon,Volleyball,Barstool Sports
18,Casey Rogers,University of NebraskaâLincoln,Football,Barstool Sports
19,Brandon Hsu,University of Rhode Island,Baseball,Barstool Sports
0,Collin Hawes,Radford University,Soccer,Barstool Sports
1,Daryl Watts,University of WisconsinâMadison,Ice Hockey,Barstool Sports
2,Nick Brown,Liberty University,Football,Barstool Sports
3,Andrew Barrett,Drake University,Basketball,Barstool Sports
4,Beau Healy,Mercer University,Baseball,Barstool Sports
5,Jack Cebert,University of South Florida,Baseball,Barstool Sports
6,Nick Loffredo,University of Richmond,Baseball,Barstool Sports
7,Matteo Mele,University of Washington,Football,Barstool Sports
8,Kris Carlson,Long Island University,Ice Hockey,Barstool Sports
9,Courtney Mahoney,Fairleigh Dickinson University,Softball,Barstool Sports
10,Savannah Braun,University of New Mexico,Softball,Barstool Sports
11,Jillian Shive,Ohio University,Field Hockey,Barstool Sports
12,Sarah Rech,University of Akron,Lacrosse,Barstool Sports
13,Sarah Bacon,University of Minnesota,Swimming and Diving,Barstool Sports
14,Luke Bolden,Miami University,Football,Barstool Sports
15,Peyton Fifield,Sam Houston State University,Football,Barstool Sports
16,Kris Jenkins,University of Michigan,Football,Barstool Sports
17,Nina Kucheran,Florida State University,Swimming and Diving,Barstool Sports
18,Jack Martin,University of South Alabama,Football,Barstool Sports
19,Oleh Manzyk,University of New Hampshire,Football,Barstool Sports
0,Tyler Lytle,University of Massachusetts Amherst,Football,Barstool Sports
1,Rusty Feth,Miami University,Football,Barstool Sports
2,Kylie Hampton,College of the Holy Cross,Lacrosse,Barstool Sports
3,Liam Murphy,Columbia University,Basketball,Barstool Sports
