,Name,University,Sport,Sponsors
6,Alex Liang,Stanford University,Swimming and Diving,Barstool Sports
7,Tyler Denu,University of Evansville,Baseball,Barstool Sports
8,Seth Broknick,Providence College,Swimming and Diving,Barstool Sports
9,Michal Cukanow,"University of Nevada, Las Vegas",Swimming and Diving,Barstool Sports
10,Michael Ferrara,Merrimack College,Lacrosse,Barstool Sports
11,Macie Majoy,Marshall University,Track and Field,Barstool Sports
12,Demond Fleming,University of Mississippi,Track and Field,Barstool Sports
13,Kennedy Croft,Gonzaga University,Volleyball,Barstool Sports
14,Molly DiLalla,University of Hawaii at Manoa,Water Polo,Barstool Sports
15,Michael Brooks,University of Central Florida,Baseball,Barstool Sports
16,Julia Hoefling,Loyola University Chicago,Basketball,Barstool Sports
17,Ellie Watkins,Georgetown University,Volleyball,Barstool Sports
18,Sophie Robinson,Lehigh University,Volleyball,Barstool Sports
19,Kailuhia Lam,University of Washington,Tennis,Barstool Sports
0,Jacob Alexander,Bryant University,Lacrosse,Barstool Sports
1,Jordan Wells,Georgetown University,Soccer,Barstool Sports
2,Edwin Serrano,Virginia Commonwealth University,Baseball,Barstool Sports
3,Sophia Franco,Dartmouth College,Lacrosse,Barstool Sports
4,Will Pearson,University of Georgia,Baseball,Barstool Sports
5,Mackenzie Tillman,Towson University,Field Hockey,Barstool Sports
6,Connor Wood,University of Missouri,Football,Barstool Sports
7,Kendall Murray,University of Michigan,Volleyball,Barstool Sports
8,Zach Perkins,"University of Maryland, College Park",Football,Barstool Sports
9,Lea Panagiotidis,University of Delaware,Soccer,Barstool Sports
10,Nolan Pierce,Morehead State University,Golf,Barstool Sports
11,Andrew Arce,Binghamton University,Lacrosse,Barstool Sports
12,Brianna Hatzold,Rider University,Swimming and Diving,Barstool Sports
13,Paige Zolciak,Eastern Michigan University,Golf,Barstool Sports
14,Joel Sullivan,Texas Southern University,Golf,Barstool Sports
15,Peter Ripperger,University of Delaware,Lacrosse,Barstool Sports
16,Jack Moroknek,Butler University,Baseball,Barstool Sports
17,Savannah Fitzgerald,"California State University, Fresno",Water Polo,Barstool Sports
18,Jacob Logan,Northwestern State University,Football,Barstool Sports
19,Jackson Skeen,Tennessee Technological University,Golf,Barstool Sports
0,Tylin Broaders,Indiana University â Purdue University Indianapolis,Soccer,Barstool Sports
1,John Bianchi,Boston College,Skiing,Barstool Sports
2,Bryce Kirkwood,Providence College,Lacrosse,Barstool Sports
3,Gianna Rao,Pennsylvania State University,Track and Field,Barstool Sports
4,Ethan Dabbs,University of Virginia,Cross Country,Barstool Sports
5,Akileis Leroy,Florida Atlantic University,Football,Barstool Sports
6,Windham Ellis,North Carolina State University,Soccer,Barstool Sports
7,Geoffrey Brown,Indiana State University,Football,Barstool Sports
8,Josh Jordan,Rutgers University,Lacrosse,Barstool Sports
9,Hank Shapiro,Lehigh University,Football,Barstool Sports
10,Amanda Ayala,University of Tennessee,Softball,Barstool Sports
11,Sophia Carothers,"California State University, Long Beach",Soccer,Barstool Sports
12,Kaleb Lewis,Lipscomb University,Track and Field,Barstool Sports
13,Sameer Gangoli,University of Pennsylvania,Tennis,Barstool Sports
14,Ivy Davis,University of Tennessee,Softball,Barstool Sports
15,Sam Dwinell,University of Denver,Lacrosse,Barstool Sports
16,Will Jenkins,Belmont University,Baseball,Barstool Sports
17,Sophia Culmone,Mount St. Mary's University,Lacrosse,Barstool Sports
18,Blake Ulmer,University of Tampa,Lacrosse,Barstool Sports
19,Joe Heilmann,University of North Carolina at Chapel Hill,Wrestling,Barstool Sports
0,Jack Kerr,Clemson University,Lacrosse,Barstool Sports
1,Tucker Finkelston,University of Virginia,Football,Barstool Sports
2,Coby Tippett,University of Rhode Island,Football,Barstool Sports
3,Tim Cavanaugh,Saint Joseph's University,Baseball,Barstool Sports
4,Ryan Ripplinger,North Dakota State University,Wrestling,Barstool Sports
5,Peyton Mottice,University of Cincinnati,Lacrosse,Barstool Sports
6,Stephanie Hiltpold,Saint Joseph's University,Track and Field,Barstool Sports
7,Ross Dant,North Carolina State University,Swimming and Diving,Barstool Sports
8,Laura Thomas,Quinnipiac University,Track and Field,Barstool Sports
9,Joe Oakes,Ohio University,Football,Barstool Sports
10,Riley Seay,Loyola University Maryland,Lacrosse,Barstool Sports
11,Aditya Singh,University of Massachusetts Amherst,Football,Barstool Sports
12,Gabe Sloat,University of Rhode Island,Football,Barstool Sports
13,Ryan Picollo,Saint Joseph's University,Baseball,Barstool Sports
14,Ethan Olson,Creighton University,Golf,Barstool Sports
15,Caitlin Sardelis,University of Maine,Track and Field,Barstool Sports
16,Evan Zhu,"University of California, Los Angeles",Tennis,Barstool Sports
17,Eleanor Winants,Wake Forest University,Field Hockey,Barstool Sports
18,Brett Gardner,North Carolina State University,Cross Country,Barstool Sports
19,Reese Sharp,Indiana University,Baseball,Barstool Sports
0,Will Milewski,Bryant University,Lacrosse,Barstool Sports
1,Sheridan Schreiber,Texas Christian University,Swimming and Diving,Barstool Sports
2,Riley Hofmann,Eastern Michigan University,Swimming and Diving,Barstool Sports
3,Brian Gaffney,Indiana University,Baseball,Barstool Sports
4,Grant Willower,Florida State University,Lacrosse,Barstool Sports
5,Sara Nielsen,University of Kansas,Volleyball,Barstool Sports
6,Meagan Brown,Palm Beach Atlantic University,Soccer,Barstool Sports
7,Hailee Jantorno,Marist College,Softball,Barstool Sports
8,Dominic Rossetti,Columbia University,Wrestling,Barstool Sports
9,Tyler Leach,High Point University,Baseball,Barstool Sports
10,Trent Hidlay,North Carolina State University,Wrestling,Barstool Sports
11,Cameron Whitacre,Furman University,Soccer,Barstool Sports
12,Mady Aulbach,Youngstown State University,Basketball,Barstool Sports
13,Natalie Snodgrass,University of Connecticut,Ice Hockey,Barstool Sports
14,Elana Webber,University of NebraskaâLincoln,Soccer,Barstool Sports
15,CC Bowlby,Dartmouth College,Ice Hockey,Barstool Sports
16,Aidan Rafferty,Indiana University,Football,Barstool Sports
17,James Pogorelc,Stanford University,Football,Barstool Sports
18,Hayden Leatherwood,University of Mississippi,Baseball,Barstool Sports
19,Lauren Joyce,Loyola University Maryland,Swimming and Diving,Barstool Sports
0,Max LeBlanc,University of Massachusetts Amherst,Baseball,Barstool Sports
1,David Judge,Florida International University,Baseball,Barstool Sports
2,Skylor Hilger,DePaul University,Softball,Barstool Sports
3,Morgan Leigh Oldham,Auburn University,Gymnastics,Barstool Sports
4,Mari Kraus,University of South Carolina,Swimming and Diving,Barstool Sports
5,Logan Ward,Oklahoma State UniversityâStillwater,Football,Barstool Sports
6,Laura Gouvin,Boston College,Soccer,Barstool Sports
7,Kate Krueger,Iona College,Lacrosse,Barstool Sports
8,Jacob Nolan,Binghamton University,Wrestling,Barstool Sports
9,Coleman Crozier,University of Florida,Football,Barstool Sports
10,Ellie Maransky,Georgetown University,Field Hockey,Barstool Sports
11,Taylor Dobles,Louisiana State University,Soccer,Barstool Sports
12,Dylan Trombley,State University of New York at Oneonta,Basketball,Barstool Sports
13,James Cardinale,Hofstra University,Baseball,Barstool Sports
14,Emma Evanko,Butler University,Lacrosse,Barstool Sports
15,Brady Pohl,Oklahoma State UniversityâStillwater,Football,Barstool Sports
16,Sarah Bailitz,University of Dayton,Softball,Barstool Sports
17,Amber Dombrowski,West Virginia University,Track and Field,Barstool Sports
18,Brady Gaudette,University of Maine,Ice Hockey,Barstool Sports
19,Katherine Mendenhall,Bowling Green State University,Track and Field,Barstool Sports
0,Chevez Goodwin,University of Southern California,Basketball,Barstool Sports
1,Skyler Spetter,Butler University,Football,Barstool Sports
2,Emma Pascarella,Rutgers University,Soccer,Barstool Sports
3,Taylor Roberts,Florida State University,Golf,Barstool Sports
4,Matt Choi,Monmouth University,Baseball,Barstool Sports
5,Sebastian Abedi,University of Illinois at UrbanaâChampaign,Gymnastics,Barstool Sports
6,Grace Riddle,Ohio University,Swimming and Diving,Barstool Sports
7,Ellie Chaffee,Xavier University,Volleyball,Barstool Sports
8,MJ Schwab,Lehigh University,Field Hockey,Barstool Sports
9,Abigail Nebot,Butler University,Swimming and Diving,Barstool Sports
10,Jack Adams,University of Notre Dame,Ice Hockey,Barstool Sports
11,Taylor Moncman,Temple University,Lacrosse,Barstool Sports
12,Elle Dahlgren,University of Kansas,Track and Field,Barstool Sports
13,Rebecca Findley,University of Maine,Softball,Barstool Sports
14,Ally Repko,Virginia Tech,Softball,Barstool Sports
15,Joe Shimko,North Carolina State University,Football,Barstool Sports
16,Hannah James,Murray State University,Softball,Barstool Sports
17,Regan Berb,Ohio University,Soccer,Barstool Sports
18,Michael Wellman,Butler University,Football,Barstool Sports
19,Nick Campana,Monmouth University,Baseball,Barstool Sports
0,Patrick Gurd,The Ohio State University,Football,Barstool Sports
1,Joel Honigford,University of Michigan,Football,Barstool Sports
2,Lilly Gentzkow,University of Iowa,Golf,Barstool Sports
3,Bella Feldmann,Elon University,Lacrosse,Barstool Sports
4,Andrew Daragjati,Bryant University,Football,Barstool Sports
5,Allyn French,Merrimack College,Lacrosse,Barstool Sports
6,Porter Hedenberg,University of Evansville,Soccer,Barstool Sports
7,Viviana Bocanegra,Merrimack College,Softball,Barstool Sports
8,Lindsey Schreiber,Butler University,Lacrosse,Barstool Sports
9,Billy Kopicki,Miami University,Baseball,Barstool Sports
10,Cameron Jones,University of Northern Iowa,Track and Field,Barstool Sports
11,Chris Knight,George Washington University,Baseball,Barstool Sports
12,Cody Lamb,University of Cincinnati,Football,Barstool Sports
13,Marisa Lee,Binghamton University,Swimming and Diving,Barstool Sports
14,Pat Nolan,University of Michigan,Wrestling,Barstool Sports
15,Nicole Suppelsa,Boise State University,Golf,Barstool Sports
16,Jacob Vitale,University of Vermont,Soccer,Barstool Sports
17,Matt Linden,Bucknell University,Lacrosse,Barstool Sports
18,Pat O'Reilly,University of Massachusetts Amherst,Football,Barstool Sports
19,Darby D'Angelo,Siena College,Soccer,Barstool Sports
0,Tyler Frierson,University of Memphis,Basketball,Barstool Sports
1,Amira Young,University of Minnesota,Track and Field,Barstool Sports
2,Evan Stewart,University of Rhode Island,Football,Barstool Sports
3,Will Bugliari,Colgate University,Soccer,Barstool Sports
4,Maddie Anderson,Saint Joseph's University,Soccer,Barstool Sports
5,Sam Wustefeld,Columbia University,Wrestling,Barstool Sports
6,Chloe Peterson,Binghamton University,Swimming and Diving,Barstool Sports
7,Ava Therien,Loyola University Maryland,Basketball,Barstool Sports
8,Luke Pacher,Manhattan College,Lacrosse,Barstool Sports
9,Maddie Cleary,University of North Texas,Basketball,Barstool Sports
10,Monica Hebner,University of Texas at Austin,Cross Country,Barstool Sports
11,Stefan Copetti,Marist College,Soccer,Barstool Sports
12,Benjamin Hermiston,Florida Gulf Coast University,Cross Country,Barstool Sports
13,Lainey Stephenson,Wright State University,Volleyball,Barstool Sports
14,Austin Johnson,BirminghamâSouthern College,Lacrosse,Barstool Sports
15,Ryan Hampe,University of Illinois at UrbanaâChampaign,Baseball,Barstool Sports
16,Caitlin Curmode,The Citadel,Soccer,Barstool Sports
17,Elle Hartje,Yale University,Ice Hockey,Barstool Sports
18,Fletcher Tynen,Boston University,Basketball,Barstool Sports
19,Jordan Williams,Pennsylvania State University,Cross Country,Barstool Sports
0,Colin Enz,University of WisconsinâMadison,Track and Field,Barstool Sports
1,Riley Evans,Saint Joseph's University,Lacrosse,Barstool Sports
2,Andrew Caples,University of Richmond,Lacrosse,Barstool Sports
3,Taylor Nuncio,University of Cincinnati,Soccer,Barstool Sports
4,Hayleigh Simpson,Drexel University,Lacrosse,Barstool Sports
5,Mark Anselmi,University of Pennsylvania,Track and Field,Barstool Sports
6,Samuel Garringer,Clemson University,Cross Country,Barstool Sports
7,Will MacKinnon,University of New Hampshire,Ice Hockey,Barstool Sports
8,Matt Vinci,Northwestern University,Wrestling,Barstool Sports
9,Youssef Said,University of Georgia,Swimming and Diving,Barstool Sports
10,Brandon Oldham,University of North Texas,Football,Barstool Sports
11,Mark Adamiak,University of Arkansas,Baseball,Barstool Sports
12,Adam Strouf,Auburn University,Cross Country,Barstool Sports
13,Emma Key,Dartmouth College,Softball,Barstool Sports
14,Courtney Moane,Binghamton University,Swimming and Diving,Barstool Sports
15,Donovon Ball,Pennsylvania State University,Wrestling,Barstool Sports
16,Mark Calleja,University of South Florida,Basketball,Barstool Sports
17,Austin Yant,University of Northern Iowa,Wrestling,Barstool Sports
18,Zac Stanley,Butler University,Track and Field,Barstool Sports
19,Evan Brown,University of Tennessee at Chattanooga,Football,Barstool Sports
0,Nick Martinski,Ball State University,Volleyball,Barstool Sports
1,Theron Schilling,Villanova University,Baseball,Barstool Sports
2,Noor Abdellatif,University of Illinois at UrbanaâChampaign,Track and Field,Barstool Sports
3,Cormac Giblin,Mount St. Mary's University,Lacrosse,Barstool Sports
4,Belle Mastropietro,Temple University,Lacrosse,Barstool Sports
5,Alicia Galasso,Quinnipiac University,Field Hockey,Barstool Sports
6,John King Jr.,University of New Hampshire,Track and Field,Barstool Sports
7,Jamison Gaskins,Towson University,Lacrosse,Barstool Sports
8,Pat Harper,University of Tennessee,Tennis,Barstool Sports
9,Dexter Carter Jr.,Georgia Southern University,Football,Barstool Sports
10,Faith Jarvis,East Carolina University,Softball,Barstool Sports
11,Julian Steinhausen,Southern Methodist University,Tennis,Barstool Sports
12,Ila Angermeier,Ohio University,Volleyball,Barstool Sports
13,Ben Sinnott,Kansas State University,Football,Barstool Sports
14,Ryan Sheppard,Seton Hall University,Baseball,Barstool Sports
15,Amanda Limon,University of San Diego,Softball,Barstool Sports
16,John Guaimano,Rutgers University,Football,Barstool Sports
17,Simone Overbeck,University of Arizona,Volleyball,Barstool Sports
18,Nick Martini,Wagner College,Lacrosse,Barstool Sports
19,Blake Kasday,University of San Diego,Tennis,Barstool Sports
0,Nate Ferguson,Drake University,Basketball,Barstool Sports
1,Matthew Russell,East Carolina University,Cross Country,Barstool Sports
2,Alex Schwedt,Duke University,Track and Field,Barstool Sports
3,Kayla Kielbasa,Butler University,Lacrosse,Barstool Sports
4,Michael DÃ­az,"California State University, Fullerton",Soccer,Barstool Sports
5,Conner Fingar,"University at Albany, SUNY",Lacrosse,Barstool Sports
6,Zoey Jones,Florida Atlantic University,Softball,Barstool Sports
7,Jake Butler,University of Minnesota,Swimming and Diving,Barstool Sports
8,Krista Baumgartner,University of WisconsinâMadison,Cross Country,Barstool Sports
9,Luke Carden,Drexel University,Lacrosse,Barstool Sports
10,Chase Gordon,"University of California, Berkeley",Cross Country,Barstool Sports
11,Emily McKenna,St. Bonaventure University,Softball,Barstool Sports
12,Brooke Stonehouse,University of Toledo,Soccer,Barstool Sports
13,Maddie Diab,Iowa State University,Gymnastics,Barstool Sports
14,Sam Rainwater,Oral Roberts University,Baseball,Barstool Sports
15,Alec Ogden,Middle Tennessee State University,Football,Barstool Sports
16,Christian Emmerich,College of the Holy Cross,Golf,Barstool Sports
17,Daxton Tinker,Houston Baptist University,Baseball,Barstool Sports
18,Riley Tirotta,University of Dayton,Baseball,Barstool Sports
19,Taylor Ambrosio,High Point University,Lacrosse,Barstool Sports
0,Trevor Fagan,Sacred Heart University,Baseball,Barstool Sports
1,Lydia Werlau,Sacred Heart University,Lacrosse,Barstool Sports
2,Lauren Elwell,University of Delaware,Soccer,Barstool Sports
3,Amelia Horton,Florida State University,Soccer,Barstool Sports
4,Brendan Bobo,"California State University, Fullerton",Baseball,Barstool Sports
5,Emma Carey,University of Delaware,Rowing,Barstool Sports
6,Cole Simpson,The Citadel,Baseball,Barstool Sports
7,Jordyn Allen,University of Rhode Island,Soccer,Barstool Sports
8,Zane Davis,University of Arkansas at Little Rock,Wrestling,Barstool Sports
9,Eli Barry,Santa Clara University,Basketball,Barstool Sports
10,Jacob Kelly,University of North Carolina at Chapel Hill,Lacrosse,Barstool Sports
11,Cody McKimens,William Jewell College,Football,Barstool Sports
12,Caleb Powell,University of North Carolina at Wilmington,Soccer,Barstool Sports
13,Jack Herceg,Miami University,Golf,Barstool Sports
14,Emma Roe,Wagner College,Soccer,Barstool Sports
15,Riley Walz,Western Kentucky University,Baseball,Barstool Sports
16,Kaylie Milton,Jacksonville State University,Volleyball,Barstool Sports
17,Cole Palchak,University of Vermont,Skiing,Barstool Sports
18,Carley Hudspeth,University of Central Arkansas,Basketball,Barstool Sports
19,Damon Maynard,University of South Carolina Upstate,Baseball,Barstool Sports
0,Mackenzie Morano,Long Island University,Soccer,Barstool Sports
1,Paxton Thompson,University of North Carolina at Charlotte,Baseball,Barstool Sports
2,Tristan Ikpe,Sam Houston State University,Basketball,Barstool Sports
3,Matthew Baxter,Indiana University â Purdue University Indianapolis,Golf,Barstool Sports
4,Isabelle Schaefer,University of North Carolina at Chapel Hill,Gymnastics,Barstool Sports
5,Alex Nicastro,Bradley University,Soccer,Barstool Sports
6,Will Stack,College of William & Mary,Soccer,Barstool Sports
7,Jillian Schumacher,University of Massachusetts Lowell,Lacrosse,Barstool Sports
8,Brady Elms,Western Carolina University,Football,Barstool Sports
9,Brett Bebej,Indiana University,Soccer,Barstool Sports
10,Olivia Sokol,Yale University,Lacrosse,Barstool Sports
11,Millan Henegar,Denison University,Cross Country,Barstool Sports
12,Bobby Jones,Towson University,Ice Hockey,Barstool Sports
13,Grace Ware,Manhattan College,Softball,Barstool Sports
14,Hunter Nourzad,Cornell University,Football,Barstool Sports
15,Corey Miley,Saint Mary's College of California,Baseball,Barstool Sports
16,Kiana Mack,University of Alabama at Birmingham,Volleyball,Barstool Sports
17,Maggie Connolly,Princeton University,Basketball,Barstool Sports
18,Alejandro Rodriguez-Vidal,Duquesne University,Tennis,Barstool Sports
19,Jonny Russell,Brown University,Ice Hockey,Barstool Sports
0,Ellen Kiessling-Wales,Sacred Heart University,Swimming and Diving,Barstool Sports
1,Amber Saxon,Bowling Green State University,Swimming and Diving,Barstool Sports
2,Bryce Stai,Ohio University,Football,Barstool Sports
3,Brody Butler,Middle Tennessee State University,Football,Barstool Sports
4,Kaitlyn Covell,University of New Hampshire,Track and Field,Barstool Sports
5,Lauren Reichardt,College of Charleston,Soccer,Barstool Sports
6,Caroline Nichols,University of South Alabama,Softball,Barstool Sports
7,Annie Cate Fitzpatrick,Pennsylvania State University,Volleyball,Barstool Sports
8,Adam Sadowski,East Carolina University,Track and Field,Barstool Sports
9,Jude Putz,University of Arkansas,Baseball,Barstool Sports
10,Eldridge Harris,Colorado State University,Track and Field,Barstool Sports
11,Isaiah Harris,University of NebraskaâLincoln,Football,Barstool Sports
12,Darian Duarte,Bryant University,Football,Barstool Sports
13,Peyton Wilhite,Georgetown University,Volleyball,Barstool Sports
14,Coleman Calabrese,James Madison University,Baseball,Barstool Sports
15,Brendan Lowery,Bucknell University,Baseball,Barstool Sports
16,Anna Brinkmann,Northern Kentucky University,Volleyball,Barstool Sports
17,Maggie Fowler,Brown University,Lacrosse,Barstool Sports
18,Dennis Pyetsukh,Brown University,Soccer,Barstool Sports
19,"Antonio Daye, Jr.",Fordham University,Basketball,Barstool Sports
0,Caroline Atkinson,University of Richmond,Lacrosse,Barstool Sports
1,Daniel Carinci,Kansas State University,Baseball,Barstool Sports
2,Kyle Magee,Saint Joseph's University,Track and Field,Barstool Sports
3,Sam Garvin,Purdue University,Football,Barstool Sports
4,Conner Decker,"University of Maryland, College Park",Wrestling,Barstool Sports
5,Max Damm,Florida Gulf Coast University,Tennis,Barstool Sports
6,Will Reiner,Villanova University,Baseball,Barstool Sports
7,Grace Gagliardi,Central Michigan University,Field Hockey,Barstool Sports
8,Rory Anderson,Binghamton University,Soccer,Barstool Sports
9,Joe Brodie,University of Dayton,Football,Barstool Sports
10,Jojo Chobak,University of Minnesota Duluth,Ice Hockey,Barstool Sports
11,McClain Hermes,Loyola University Maryland,Swimming and Diving,Barstool Sports
12,Elizabeth Nowak,College of Charleston,Tennis,Barstool Sports
13,Noah Cates,University of Minnesota Duluth,Ice Hockey,Barstool Sports
14,Zach Granger,Marquette University,Lacrosse,Barstool Sports
15,Cole Bentley,University of Louisville,Football,Barstool Sports
16,John Riley,University of Massachusetts Lowell,Cross Country,Barstool Sports
17,Daniel Camacho,University of North Carolina at Charlotte,Track and Field,Barstool Sports
18,Benjamin Quinn,University of Massachusetts Lowell,Lacrosse,Barstool Sports
19,Kelly Franxman,Xavier University,Volleyball,Barstool Sports
0,Aidan Johnson,Pennsylvania State University,Fencing,Barstool Sports
1,Grant Jarman,University of North Carolina at Greensboro,Baseball,Barstool Sports
2,Tom Shepherd,"California State University, Bakersfield",Soccer,Barstool Sports
3,Ryan Tall,Lafayette College,Golf,Barstool Sports
4,Bianca Stubler,University of WisconsinâMadison,Track and Field,Barstool Sports
5,Jesus Galvan Garcia,University of Hartford,Soccer,Barstool Sports
6,Claire Gerlock,University of South Carolina,Swimming and Diving,Barstool Sports
7,Brian Szeto,Columbia University,Fencing,Barstool Sports
8,Kyle Nevin,Baylor University,Baseball,Barstool Sports
9,Ashley Prell,University of Illinois at UrbanaâChampaign,Soccer,Barstool Sports
10,Lauren Nguyen,Texas A&M University,Golf,Barstool Sports
11,Elizabeth St. John,Seattle University,Rowing,Barstool Sports
12,Derek Wilkins,"University of California, Berkeley",Football,Barstool Sports
13,Colin Ridge,Bryant University,Ice Hockey,Barstool Sports
14,Francesco Montanile,"University of California, Irvine",Soccer,Barstool Sports
15,Ethan Maher,University of Pittsburgh,Cross Country,Barstool Sports
16,Aiden Boehm,Stony Brook University,Ice Hockey,Barstool Sports
17,Maddie Krull,University of South Dakota,Basketball,Barstool Sports
18,Taylor Patnode,Seton Hall University,Swimming and Diving,Barstool Sports
19,Ally Kennedy,University of Vermont,Field Hockey,Barstool Sports
0,Trevor Jones,Saint Louis University,Track and Field,Barstool Sports
1,Michael Blando,University of Utah,Tennis,Barstool Sports
2,Luke Simon,Fordham University,Football,Barstool Sports
3,Holly Hall,Butler University,Lacrosse,Barstool Sports
4,Hallie Pearson,Northwestern University,Soccer,Barstool Sports
5,Drake Boggan,Abilene Christian University,Baseball,Barstool Sports
6,Paul DeNaples,Pennsylvania State University,Ice Hockey,Barstool Sports
7,Daniel Pacella,University of Vermont,Soccer,Barstool Sports
8,Mackenzie Morgan,Weber State University,Football,Barstool Sports
9,John Clifford,Siena College,Lacrosse,Barstool Sports
10,Martin Strong,University of Iowa,Track and Field,Barstool Sports
11,Louis Logsdail,Lehigh University,Track and Field,Barstool Sports
12,Miles Johnson,University of Georgia,Football,Barstool Sports
13,Braden Barry,West Virginia University,Baseball,Barstool Sports
14,Aaron Maione,Davidson College,Football,Barstool Sports
15,Amanda Kowalski,Butler University,Soccer,Barstool Sports
16,Ethan Hoopingarner,University of Southern California,Baseball,Barstool Sports
17,Mo Nagel,Seattle University,Soccer,Barstool Sports
18,Gus Freeman,University of Louisiana at Monroe,Baseball,Barstool Sports
19,Clare Cornish,La Salle University,Rowing,Barstool Sports
0,Jared Freilich,Pennsylvania State University,Baseball,Barstool Sports
1,William Nalty,University of Kentucky,Football,Barstool Sports
2,Emily Oliver,Bryant University,Lacrosse,Barstool Sports
3,Evan Jones,Colgate University,Football,Barstool Sports
4,Brennan Kamish,Rutgers University,Lacrosse,Barstool Sports
5,Olivia Theil,University of Nebraska Omaha,Swimming and Diving,Barstool Sports
6,TreShawn Watson,Illinois State University,Football,Barstool Sports
7,Ben Carpenter,Yale University,Golf,Barstool Sports
8,Lauren Hogan,Syracuse University,Volleyball,Barstool Sports
9,Derek Daschke,Miami University,Ice Hockey,Barstool Sports
10,Emma Carpenter,University of Minnesota,Golf,Barstool Sports
11,Jack Reichenbach,University of Rhode Island,Track and Field,Barstool Sports
12,Brody Teske,University of Northern Iowa,Wrestling,Barstool Sports
13,Shannon Gormally,Florida International University,Volleyball,Barstool Sports
14,Alessandra Pontoni,University of Detroit Mercy,Soccer,Barstool Sports
15,Riko Nagai,Radford University,Golf,Barstool Sports
16,RJ Khayo,Wofford College,Football,Barstool Sports
17,Jacob Zydel,Austin Peay State University,Golf,Barstool Sports
18,Conor Murphy,University of Virginia,Cross Country,Barstool Sports
19,Emilio Martinez,University of San Diego,Football,Barstool Sports
0,Caden Buckley,Santa Clara University,Soccer,Barstool Sports
1,James Kirkpatrick,Harvard University,Baseball,Barstool Sports
2,Jacob Adair,University of Houston,Track and Field,Barstool Sports
3,Clay Schwaner,Wofford College,Baseball,Barstool Sports
4,Carlos Hassey,University of Arizona,Tennis,Barstool Sports
5,Connor Zilisch,Canisius College,Ice Hockey,Barstool Sports
6,Emily Groark,Saint Louis University,Soccer,Barstool Sports
7,Ashley Schroeder,University of Oregon,Beach Volleyball,Barstool Sports
8,Andres Lehrmann,Youngstown State University,Football,Barstool Sports
9,Bobby Radloff,Jacksonville University,Rowing,Barstool Sports
10,Ethan Slike,University of Akron,Football,Barstool Sports
11,Oby Anadi,University of South Carolina,Volleyball,Barstool Sports
12,Olivia Prock,Austin Peay State University,Soccer,Barstool Sports
13,Parker Byrd,University of North Carolina at Chapel Hill,Lacrosse,Barstool Sports
14,Marcus Ferreira,Vanderbilt University,Tennis,Barstool Sports
15,Wesley Mitchell,Texas A&M UniversityâCorpus Christi,Baseball,Barstool Sports
16,Andrew Russell,University of Michigan,Football,Barstool Sports
17,Kaitlyn Brannstrom,Purdue University,Softball,Barstool Sports
18,Alaina Breitbach,Iowa State University,Swimming and Diving,Barstool Sports
19,Camila Gomez,Winthrop University,Volleyball,Barstool Sports
0,Teagan Ochaya,University of Akron,Volleyball,Barstool Sports
1,Julia Dreher,Butler University,Soccer,Barstool Sports
2,Aurelius Dunbar,Pennsylvania State University,Wrestling,Barstool Sports
3,Angel Vicioso,University of Florida,Cross Country,Barstool Sports
4,Haley Blaisdell,Merrimack College,Track and Field,Barstool Sports
5,Colin Kane,Oakland University,Cross Country,Barstool Sports
6,Grace Ferrara,Boston University,Soccer,Barstool Sports
7,Jake Berg,Jacksonville University,Baseball,Barstool Sports
8,Eddie Homrock,Michigan State University,Wrestling,Barstool Sports
9,Abigail Morgan,Florida Atlantic University,Softball,Barstool Sports
10,Dylan Mott,University of Tennessee at Martin,Volleyball,Barstool Sports
11,Zander Horvath,Purdue University,Football,Barstool Sports
12,Kasey Karkoska,Columbia University,Swimming and Diving,Barstool Sports
13,Rj Yeager,Mercer University,Baseball,Barstool Sports
14,Leigha Torino,Virginia Tech,Cross Country,Barstool Sports
15,Mason Pack,University of Missouri,Football,Barstool Sports
16,Makayla Pahl,University of Minnesota,Ice Hockey,Barstool Sports
17,Connor Noland,University of Arkansas,Baseball,Barstool Sports
18,Will Findlay,Fordham University,Baseball,Barstool Sports
19,Jake Hall,University of Tennessee,Golf,Barstool Sports
0,Carson Koporc,Kennesaw State University,Football,Barstool Sports
1,Davis Chatfield,University of Notre Dame,Golf,Barstool Sports
2,Mallory Hardwick,University of Arkansas,Softball,Barstool Sports
3,Josh Burgett,Youngstown State University,Football,Barstool Sports
4,Joey Corado,Duquesne University,Football,Barstool Sports
5,Victoria England,University of Memphis,Golf,Barstool Sports
6,Parker Decker,Duke University,Wrestling,Barstool Sports
7,Vanessa Udoji,Howard University,Basketball,Barstool Sports
8,Matt Torey,University of Michigan,Football,Barstool Sports
9,JJ Malach,North Carolina State University,Cross Country,Barstool Sports
10,Jacob Petersen,College of the Holy Cross,Football,Barstool Sports
11,Dominic Milano,Butler University,Baseball,Barstool Sports
12,Sam Griesel,North Dakota State University,Basketball,Barstool Sports
13,Joe Haney,Davidson College,Baseball,Barstool Sports
14,Devon Rasmus,Towson University,Lacrosse,Barstool Sports
15,Lily LaGoy,Bryant University,Track and Field,Barstool Sports
16,Amaya Staton,Merrimack College,Basketball,Barstool Sports
17,Daniel Tomasello,Florida Atlantic University,Baseball,Barstool Sports
18,Zack Taylor,Rutgers University,Football,Barstool Sports
19,Makenzie Jordan,University of Tennessee at Chattanooga,Volleyball,Barstool Sports
