Name,Sponsors,University,Sport,PageNumber
Theo Jackson,Yoke Gaming,University of Tennessee,Football,5
Dariauna Lewis,Barstool Sports,Alabama Agricultural and Mechanical University,Basketball,5
Tia Dorshorst,Barstool Sports,University of Wisconsin-Madison,Track and Field,5
Morgan Pankow,Barstool Sports,University of Miami,Golf,5
Luke Olson,Barstool Sports,University of South Dakota,Track and Field,5
Maddy Siegrist,Barstool Sports,Villanova University,Basketball,5
Maddy Siegrist,Outback Steakhouse,Villanova University,Basketball,5
Natalie Smith,Barstool Sports,San Diego State University,Volleyball,5
Jaden Pask,Barstool Sports,Davidson College,Football,5
Evan Russell,Barstool Sports,University of Tennessee,Baseball,5
Jake Lynch,Barstool Sports,Stanford University,Football,5
Christian Dicochea,Barstool Sports,University of Washington,Baseball,6
Ali Gaye,Barstool Sports,Louisiana State University,Football,6
Justin Ademilola,Six Star Pro Nutrition,University of Notre Dame,Football,6
Jayson Ademilola,Six Star Pro Nutrition,University of Notre Dame,Football,6
D.J. Uiagalelei,Bojangles,Clemson University,Football,6
Olivia Dunne,,Louisiana State University,Gymnastics,6
Dontaie Allen,,University of Kentucky,Basketball,6
Drew Swinney,Rhoback,Clemson University,Football,6
Will Swinney,,Clemson University,Football,6
Aidan Hutchinson,PSD Underwear,University of Michigan,Football,6
E.J. Liddell,,The Ohio State University,Basketball,6
Justyn Ross,,Clemson University,Football,6
Isaiah Spiller,Raising Canes,Texas A&M University,Football,6
Josh Thompson,,University of Texas at Austin,Football,6
Keith Brown,PSD Underwear,University of Oregon,Football,6
Keith Brown,SoHoodie,University of Oregon,Football,6
Michael Trigg,SoHoodie,University of Southern California,Football,6
Jackson Powers-Johnson,PSD Underwear,University of Oregon,Football,6
Jackson Powers-Johnson,SoHoodie,University of Oregon,Football,6
Moliki Matavao,GOÂ² Football,University of Oregon,Football,6
Moliki Matavao,SoHoodie,University of Oregon,Football,6
Breece Hall,GOÂ² Football,Iowa State University,Football,6
Carlos Del Rio-Wilson,PSD Underwear,University of Florida,Football,6
"Michael Johnson, Jr.",,Florida Atlantic University,Football,7
Patrick Callan,Rhoback,University of Michigan,Swimming and Diving,7
Alex Ross,Barstool Sports,University of Southern California,Golf,7
Alex Ross,Rhoback,University of Southern California,Golf,7
Tyler Baron,Metro Straw,University of Tennessee,Football,7
Lauren Myrick,Barstool Sports,Mississippi State University,Volleyball,7
Jarrett Patterson,Barstool Sports,University of Notre Dame,Football,7
Jesse Vasquez,Barstool Sports,Utah State University,Football,7
Jake Kyman,Barstool Sports,"University of California, Los Angeles",Basketball,7
Sasha Stefanovic,Barstool Sports,Purdue University,Basketball,7
Daniel Joseph,Barstool Sports,North Carolina State University,Football,7
Nevaeh DeSouza,Barstool Sports,"University of California, Berkeley",Gymnastics,7
Luke Tenuta,Barstool Sports,Virginia Tech,Football,7
Avery Spencer,Barstool Sports,Radford University,Baseball,7
Meredith Fisher,Barstool Sports,University of Texas at Arlington,Volleyball,7
Isaiah Perry,Barstool Sports,Florida State University,Baseball,7
Maya Green,Barstool Sports,"University of California, Berkeley",Gymnastics,7
Jaylon Griffin,Barstool Sports,University of Central Florida,Football,7
Julia Rabadam,Barstool Sports,University of Cincinnati,Golf,7
Julia Rabadam,Go Puff,University of Cincinnati,Golf,7
Brady Manek,Barstool Sports,University of North Carolina at Chapel Hill,Basketball,7
Kathryn Wesolich,Barstool Sports,University of Central Florida,Volleyball,7
Matt Corral,,University of Mississippi,Football,8
Jake Schoffstall,Barstool Sports,Bradley University,Soccer,8
Jimmy Boeheim,,Syracuse University,Basketball,8
Amber Brewster,Barstool Sports,Iona College,Lacrosse,8
Amber Brewster,Barstool Sports,Iona College,Lacrosse,8
Julian Reese,Outback Steakhouse,"University of Maryland, College Park",Basketball,8
Donta Scott,,"University of Maryland, College Park",Basketball,8
Mia Isaac,Barstool Sports,"University of Maryland, College Park",Soccer,8
Mya Jackson,Barstool Sports,Seton Hall University,Basketball,8
Mya Jackson,Barstool Sports,Seton Hall University,Basketball,8
Bubba Bolden,,University of Miami,Football,8
Tyler Shough,,Texas Tech University,Football,8
Deja Kelly,Outback Steakhouse,University of North Carolina at Chapel Hill,Basketball,8
Eriq Gilyard,,University of Central Florida,Football,8
Daniel McCullon,Barstool Sports,University of Central Florida,Football,8
Anna Henderson,,University of Central Florida,Soccer,8
LD Brown,,Oklahoma State University-Stillwater,Football,8
Tay Martin,,Oklahoma State University-Stillwater,Football,8
Zach Middleton,Barstool Sports,Oklahoma State University-Stillwater,Football,8
Tommy Lewis,Barstool Sports,Lehigh University,Football,8
Trent Frazier,,University of Illinois at Urbana-Champaign,Basketball,8
Paige Kalkhoff,Barstool Sports,Florida International University,Beach Volleyball,8
Johnny Juzang,,"University of California, Los Angeles",Basketball,9
Naz Hillmon,Outback Steakhouse,University of Michigan,Basketball,9
Ty Fryfogle,,Indiana University,Football,9
Trayce Jackson-Davis,Pennzoil,Indiana University,Basketball,9
Oliver Tipton,Celsius,Davidson College,Wrestling,9
Oliver Tipton,Liquid I.V.,Davidson College,Wrestling,9
Trelon Smith,,University of Arkansas,Football,9
Carson Ramos,Barstool Sports,Old Dominion University,Football,9
Carson Ramos,Liquid I.V.,Old Dominion University,Football,9
Braden Galloway,,Clemson University,Football,9
Mike Jones Jr.,,Louisiana State University,Football,9
Jack Betts,LifeStyle Bands,Amherst College,Football,9
Gibson Jimerson,Barstool Sports,Saint Louis University,Basketball,9
Gibson Jimerson,Barstool Sports,Saint Louis University,Basketball,9
Trevor Keels,Outback Steakhouse,Duke University,Basketball,9
Paolo Banchero,Yahoo! Sports,Duke University,Basketball,9
Ra'Shaun Henry,Barstool Sports,University of Virginia,Football,9
Trey Patterson,Barstool Sports,Villanova University,Basketball,9
Paige Bueckers,Gatorade,University of Connecticut,Basketball,9
Paige Bueckers,StockX,University of Connecticut,Basketball,9
Sandra Elsadek,Barstool Sports,Ball State University,Gymnastics,9
Sandra Elsadek,Barstool Sports,Ball State University,Gymnastics,9
Jack Jones,,Arizona State University,Football,9
DeaMonte Trayanum,,Arizona State University,Football,9
Dwight Allen,Barstool Sports,University of Georgia,Baseball,9
Matthew Boling,,University of Georgia,Track and Field,10
Mollie Belisle,Barstool Sports,University of Georgia,Soccer,10
Evan McDonald,Barstool Sports,The Citadel,Track and Field,10
Evan McDonald,Barstool Sports,The Citadel,Track and Field,10
Nazar Bombata,Barstool Sports,University of Arizona,Football,10
Joe Tyler,Barstool Sports,San Diego State University,Tennis,10
Deshaun Highler,,"California State University, Sacramento",Basketball,10
Gervon Dexter,,University of Florida,Football,10
Derek Wingo,Barstool Sports,University of Florida,Football,10
Jaden Abas,Barstool Sports,Stanford University,Wrestling,10
Jaden Abas,Obsesh Media Inc,Stanford University,Wrestling,10
Ja'Quain Blakely,,University of Tennessee,Football,10
Max Agbonkpolo,Barstool Sports,University of Southern California,Basketball,10
Annie Bagnall,Barstool Sports,Siena College,Soccer,10
Annie Bagnall,Barstool Sports,Siena College,Soccer,10
Nate Laszewski,,University of Notre Dame,Basketball,10
Grant Basile,Barstool Sports,Wright State University,Basketball,10
Kyle McCord,,The Ohio State University,Football,10
Sevyn Banks,,The Ohio State University,Football,10
Meechie Johnson Jr.,,The Ohio State University,Basketball,10
Jimmy Sotos,,The Ohio State University,Basketball,10
Kendall Whitman,Barstool Sports,George Washington University,Gymnastics,10
Cam Johnson,,Vanderbilt University,Football,10
Chandler Martin,,East Tennessee State University,Football,11
Chloe Dupuis,,East Tennessee State University,Volleyball,11
Gavyn Dingle,Barstool Sports,"California State University, Bakersfield",Track and Field,11
Tanner Smith,Barstool Sports,University of Oregon,Baseball,11
Bennett Williams,Barstool Sports,University of Oregon,Football,11
Maddie Scherr,,University of Oregon,Basketball,11
Dennis Barnes,Barstool Sports,University of Texas at El Paso,Football,11
Marquis Ward,Barstool Sports,Marquette University,Track and Field,11
Marquis Ward,Barstool Sports,Marquette University,Track and Field,11
Bijan Robinson,Raising Canes,University of Texas at Austin,Football,11
Paytin Mercado,Personal Corner,Southern University,Softball,11
Paytin Mercado,Too Faced Cosmetics,Southern University,Softball,11
Justin Rigg,Barstool Sports,University of Kentucky,Football,11
Joshua Green,,University of South Florida,Football,11
Azzia MacDonald,Barstool Sports,Seattle University,Volleyball,11
Tiler Noyola,Barstool Sports,Texas A&M University-Corpus Christi,Softball,11
Nana Akenten,,Southeast Missouri State University,Basketball,11
Kyley Bolster,Bubblr,Winona State University,Tennis,11
